date,daily_active_kwh,baseline_kwh,deviation_pct,active_hours_count,mean_active_intensity,t1a_zscore_severity,t1b_cusum_severity,t2a_iforest_severity,t2b_lstm_severity,t3_changepoint_severity,s1,s2,s3,ensemble_score,vote_count,anomaly_type,confidence,physically_supported,is_ground_truth
2025-11-13,92.952,89.08350000000002,4.3425550185573725,16,5.8095,0.0,0.0,0.2951572596190864,0.0,0.0,0.0,0.2951572596190864,0.0,0.10330504086668023,0,normal,low,False,0
2025-11-14,90.537,89.596,1.0502701013320905,15,6.0358,0.0,0.0,0.10037211685723389,0.0,0.0,0.0,0.10037211685723389,0.0,0.03513024090003186,0,normal,low,False,0
2025-11-15,90.144,89.719,0.473701222701183,15,6.0096,0.0,0.0,0.09068352551184224,0.0,0.0,0.0,0.09068352551184224,0.0,0.03173923392914478,0,normal,low,False,0
2025-11-16,92.519,89.8985,2.9149540870769335,15,6.167933333333334,0.0,0.0,0.08497790818749247,0.0,0.0,0.0,0.08497790818749247,0.0,0.02974226786562236,0,normal,low,False,0
2025-11-17,94.524,90.064,4.952034109023015,15,6.3016,0.0,0.0,0.11972045403014984,0.0,0.0,0.0,0.11972045403014984,0.0,0.04190215891055244,0,normal,low,False,0
2025-11-18,94.024,90.2445,4.188066862754093,15,6.268266666666666,0.0,0.0,0.08739885294401434,0.0,0.0,0.0,0.08739885294401434,0.0,0.030589598530405018,0,normal,low,False,0
2025-11-19,100.4,90.371,11.097586615052434,15,6.6933333333333325,0.0,0.0,0.27916600764301563,0.0,0.0,0.0,0.27916600764301563,0.0,0.09770810267505546,0,increase,low,False,0
2025-11-20,102.489,90.467,13.288823548771505,15,6.8326,0.0,0.0,0.2402867839124808,0.0,0.0,0.0,0.2402867839124808,0.0,0.08410037436936828,0,increase,low,False,0
2025-11-21,103.857,90.876,14.284299484855353,15,6.9238,0.0,0.0,0.2489714955078286,0.0,0.0,0.0,0.2489714955078286,0.0,0.08714002342774001,0,increase,low,False,0
2025-11-22,104.189,91.2595,14.167840060331594,15,6.9459333333333335,0.0,0.0,0.213752966952854,0.0,0.0,0.0,0.213752966952854,0.0,0.0748135384334989,0,increase,low,False,0
