Date,OSF_ID,NightMean,DailyTotal,NightEfficiency,NightSlope_14d,NightSlope_30d,DailySlope_14d,DailySlope_30d,Night_Volatility_14d,Night_Volatility_30d,FlagAccum_14d,DegradationScore,RiskLevel,missing_ratio,data_quality_flag
2025-07-05,2193681000,6.389,62.671,0.9322516158737759,0.03845758241758241,-0.0043127252502780595,0.3853494505494562,-0.07261112347052183,0.17878940278844754,0.1979787661028022,14.0,15.0,LOW_RISK,0.0,complete
2025-07-06,2193681000,6.4059,62.642,0.9347175811748037,0.0393026373626379,-0.0004987764182427765,0.3988285714285669,-0.03327786429365803,0.18154791772028323,0.19421549164627458,14.0,15.0,LOW_RISK,0.0,complete
2025-07-07,2193681000,6.2847,60.629,0.9170326702585568,0.035981538461538766,0.002389321468298195,0.3372197802197751,-0.007580867630704439,0.17436522173142766,0.18755526069959705,14.0,30.0,LOW_RISK,0.0,complete
2025-07-08,2193681000,5.8543,57.37,0.8542308083909604,0.018535164835165045,0.0024626696329253673,0.16960659340658887,-0.00457107897664009,0.1873982737966851,0.1869640239842138,14.0,30.0,LOW_RISK,0.0,complete
2025-07-09,2193681000,5.8321,56.982,0.8509914930251131,0.0014043956043961617,0.002899666295884454,-0.0029450549450701136,9.187986651932062e-05,0.20326133127382617,0.18304466938020245,14.0,30.0,LOW_RISK,0.0,complete
2025-07-10,2193681000,5.8371,57.333,0.8517210685579617,-0.014673846153846528,0.0034519466073416718,-0.14744615384616128,0.009335261401558045,0.21740312380864607,0.17824348454182287,14.0,40.0,MEDIUM_RISK,0.0,complete
2025-07-11,2193681000,5.842,57.342,0.8524360525801531,-0.024090109890110133,0.003589766407119142,-0.23827692307692658,0.01550278086762932,0.23414819670878786,0.17724374787540856,14.0,50.0,MEDIUM_RISK,0.0,complete
2025-07-12,2193681000,5.8495,57.558,0.8535304158794259,-0.03408901098901141,0.002127697441601659,-0.3242505494505487,0.01137641824249069,0.24696599011751483,0.1818797757519732,14.0,50.0,MEDIUM_RISK,0.0,complete
2025-07-13,2193681000,5.9246,58.223,0.8644886403828099,-0.039225934065933936,0.001602002224694096,-0.367663736263738,0.010315016685207373,0.25264923214902835,0.18334185693874974,14.0,50.0,MEDIUM_RISK,0.0,complete
2025-07-14,2193681000,5.8122,57.336,0.8480877824043763,-0.046279340659340924,-2.8275862068925806e-05,-0.4234615384615357,0.0002872080088969117,0.264358129654234,0.18880341990498462,14.0,60.0,HIGH_RISK,0.0,complete
2025-07-15,2193681000,5.9214,58.064,0.8640217120417869,-0.04863450549450595,-0.0009197775305895923,-0.4456769230769184,-0.006419132369301777,0.26697555234412307,0.19027971920368109,14.0,50.0,MEDIUM_RISK,0.0,complete
2025-07-16,2193681000,5.7511,55.787,0.839172369392968,-0.054843516483516416,-0.0028407563959959893,-0.5222307692307671,-0.027763070077868438,0.2785200799674127,0.19779873214149635,14.0,60.0,HIGH_RISK,0.0,complete
2025-07-17,2193681000,5.7471,56.874,0.8385887089666891,-0.05444505494505503,-0.004971902113459476,-0.5034791208791181,-0.04399443826473964,0.27751772352073456,0.20470074117301926,14.0,60.0,HIGH_RISK,0.0,complete
2025-07-18,2193681000,5.8505,57.638,0.8536763309859956,-0.0404604395604393,-0.006546451612903366,-0.3581120879120923,-0.056222246941044364,0.22891737328391598,0.20700472105783405,14.0,50.0,MEDIUM_RISK,0.0,complete
2025-07-19,2193681000,5.8661,57.975,0.8559526066484828,-0.02839164835164822,-0.007948476084538476,-0.22439340659340637,-0.06678798665183613,0.1913798225610928,0.20881471366663787,14.0,50.0,MEDIUM_RISK,0.0,complete
2025-07-20,2193681000,5.898,58.334,0.8606072985480561,-0.012555824175824012,-0.009181223581757858,-0.060731868131867144,-0.07556618464960964,0.12852508990956807,0.2097277672789607,14.0,40.0,MEDIUM_RISK,0.0,complete
2025-07-21,2193681000,5.9686,59.225,0.8709089050718766,0.0035340659340666034,-0.010039377085650706,0.0809604395604431,-0.07812458286985435,0.061673844350112236,0.20945064093601515,14.0,30.0,LOW_RISK,0.0,complete
2025-07-22,2193681000,6.5209,64.877,0.9514978184303186,0.022604395604395856,-0.0073942380422690615,0.28287032967032366,-0.045443826473860534,0.18863819197746348,0.22775279805743404,14.0,15.0,LOW_RISK,0.0,complete
2025-07-23,2193681000,6.9464,68.301,1.0135846962757233,0.05016989010989051,-0.0019789321468300027,0.5368197802197782,0.00673192436040597,0.33522372199951433,0.2810691257267212,14.0,15.0,LOW_RISK,0.0,complete
2025-07-24,2193681000,6.8696,67.577,1.0023784160911708,0.07080791208791169,0.0024101668520580474,0.7319010989010977,0.0492229143492767,0.40699734399867643,0.31555100738924863,14.0,25.0,LOW_RISK,0.0,complete
