Date,n_present,DailyTotal_kWh,DailyExpected_kWh,DailyResidual,Mean_Abs_Residual,Max_Abs_ZScore,Anomaly_Hours,Daily_Anomaly_Score
2025-12-29,24,72.633,74.025,-1.392,0.08799999999999998,2.735569286311272,1,0.13199999999999998
2025-02-24,24,91.185,94.3485,-3.163499999999999,0.13181249999999997,1.1855173868136957,0,0.13181249999999997
2025-01-15,24,96.814,97.6845,-0.8705000000000003,0.13152083333333334,2.0184294953324766,0,0.13152083333333334
2025-04-24,24,72.723,75.4845,-2.761499999999998,0.12972916666666667,1.9621378370424127,0,0.12972916666666667
2025-01-17,24,96.699,97.6845,-0.9855000000000026,0.12947916666666678,2.0020192600053885,0,0.12947916666666678
2025-01-21,24,96.324,97.6845,-1.3605000000000014,0.12927083333333336,2.0184294953324766,0,0.12927083333333336
2025-03-26,24,82.282,84.162,-1.8799999999999997,0.12924999999999998,1.972022705485319,0,0.12924999999999998
2025-09-24,24,87.87,84.8285,3.0414999999999974,0.12868749999999995,1.9871341815460584,0,0.12868749999999995
2025-02-21,24,91.326,94.3485,-3.022499999999999,0.12860416666666663,1.883687409020315,0,0.12860416666666663
2025-05-14,24,65.309,65.267,0.041999999999999815,0.08562500000000006,2.7731915563414558,1,0.1284375000000001
2025-09-22,24,87.88,84.8285,3.0514999999999977,0.12735416666666657,1.9871341815460584,0,0.12735416666666657
2025-12-12,24,76.828,74.025,2.8030000000000004,0.1272916666666666,2.0534481608435176,0,0.1272916666666666
2025-08-26,24,69.073,66.365,2.7079999999999975,0.1264166666666667,1.9720227054853185,0,0.1264166666666667
2025-06-11,24,62.803,59.85,2.9530000000000003,0.1237916666666667,1.880020409743752,0,0.1237916666666667
2025-08-09,24,70.855,70.066,0.7890000000000001,0.12195833333333334,2.070192392321649,0,0.12195833333333334
2025-12-30,24,72.914,74.025,-1.1109999999999993,0.08087499999999999,2.7584291967818397,1,0.12131249999999999
2025-03-23,24,82.868,85.0505,-2.182499999999999,0.1211458333333333,1.9364879231109704,0,0.1211458333333333
2025-04-22,24,72.589,75.4845,-2.8954999999999966,0.12072916666666654,1.9621378370424123,0,0.12072916666666654
2025-01-10,24,99.012,97.6845,1.3275,0.12027083333333337,1.9820584893665876,0,0.12027083333333337
2025-08-13,24,63.492,66.365,-2.873000000000001,0.12012500000000004,2.2912825974899493,0,0.12012500000000004
2025-05-31,24,64.105,64.846,-0.7409999999999985,0.11970833333333342,1.4659829701195939,0,0.11970833333333342
2025-08-10,24,71.352,70.066,1.286,0.1197083333333333,2.070192392321649,0,0.1197083333333333
2025-10-24,24,87.757,85.32600000000001,2.431,0.11904166666666656,2.053448160843517,0,0.11904166666666656
2025-01-01,24,99.543,97.6845,1.8585000000000007,0.11864583333333334,2.0184294953324766,0,0.11864583333333334
2025-03-24,24,82.989,84.162,-1.173,0.11845833333333326,1.7500125035121614,0,0.11845833333333326
2025-03-11,24,85.686,84.162,1.5239999999999996,0.11808333333333339,1.4894099796002571,0,0.11808333333333339
2025-02-15,24,93.214,95.893,-2.679,0.11612500000000002,1.3229504696145888,0,0.11612500000000002
2025-01-13,24,97.628,97.6845,-0.05649999999999755,0.11577083333333339,1.9820584893665876,0,0.11577083333333339
2025-03-25,24,82.297,84.162,-1.8650000000000009,0.1147083333333333,1.972022705485319,0,0.1147083333333333
2025-03-10,24,86.121,84.162,1.9589999999999985,0.11329166666666668,1.972022705485319,0,0.11329166666666668
2025-10-23,24,87.41,85.32600000000001,2.083999999999998,0.11266666666666662,1.9578861874192934,0,0.11266666666666662
2025-03-08,24,86.812,85.0505,1.7615000000000003,0.1123958333333334,1.9364879231109704,0,0.1123958333333334
2025-02-17,24,93.057,94.3485,-1.2914999999999976,0.11189583333333326,1.9689864930262375,0,0.11189583333333326
2025-09-10,24,82.213,84.8285,-2.615500000000002,0.11185416666666674,2.2300620273150855,0,0.11185416666666674
2025-02-10,24,96.757,94.3485,2.408500000000003,0.11168750000000018,2.010662699545237,0,0.11168750000000018
2025-02-18,24,92.492,94.3485,-1.8564999999999983,0.11068749999999995,1.3018534602881697,0,0.11068749999999995
2025-09-08,24,82.314,84.8285,-2.514500000000003,0.11014583333333339,1.9871341815460584,0,0.11014583333333339
2025-10-22,24,87.957,85.32600000000001,2.6309999999999993,0.10979166666666666,2.0039603091351093,0,0.10979166666666666
2025-11-06,24,91.219,93.7745,-2.555500000000001,0.10956250000000006,1.9591755404412108,0,0.10956250000000006
2025-07-13,24,58.223,60.8075,-2.5845,0.10768749999999999,0.7785800137244696,0,0.10768749999999999
2025-04-08,24,77.547,75.4845,2.0625000000000004,0.1075625,1.9621378370424123,0,0.1075625
2025-08-22,24,67.11,66.365,0.7449999999999981,0.10729166666666672,1.9540130236624311,0,0.10729166666666672
2025-02-19,24,92.641,94.3485,-1.7074999999999996,0.10710416666666667,2.025090983435007,0,0.10710416666666667
2025-10-07,24,83.553,85.32600000000001,-1.7730000000000024,0.10470833333333329,2.053448160843517,0,0.10470833333333329
2025-12-11,24,75.963,74.025,1.9379999999999993,0.10433333333333328,1.9728893365159033,0,0.10433333333333328
2025-01-09,24,98.762,97.6845,1.0774999999999995,0.10427083333333335,1.9781375071516232,0,0.10427083333333335
2025-01-02,24,99.412,97.6845,1.7275000000000003,0.10385416666666665,2.0184294953324766,0,0.10385416666666665
2025-01-08,24,98.545,97.6845,0.8604999999999996,0.10372916666666672,1.9781375071516232,0,0.10372916666666672
2025-01-03,24,98.963,97.6845,1.2785000000000004,0.10314583333333323,2.0020192600053885,0,0.10314583333333323
2025-06-20,24,58.324,59.85,-1.526,0.06858333333333334,4.578126550485463,1,0.10287500000000002
2025-12-26,24,72.141,74.025,-1.8840000000000008,0.10258333333333336,2.17931146486079,0,0.10258333333333336
2025-12-25,24,72.151,74.025,-1.8739999999999997,0.10225,2.209791345488214,0,0.10225
2025-03-16,22,83.423,85.0495,-1.6264999999999985,0.10184090909090905,2.1857344270005945,0,0.10184090909090905
2025-02-14,24,94.417,94.3485,0.06850000000000134,0.10164583333333332,1.3142726761757566,0,0.10164583333333332
