Date,GAF_ReconError_Raw,n_present,presence_ratio,GAF_ReconError_MaskAware,GAF_Anomaly_Score
2025-05-27,0.0851265704279439,24,1.0,0.0851265704279439,0.06071781302342481
2025-01-17,0.0850585424642109,24,1.0,0.0850585424642109,0.06064457717274937
2026-01-02,0.08499229042238442,24,1.0,0.08499229042238442,0.06057325319984328
2025-07-18,0.0849222296726328,24,1.0,0.0849222296726328,0.06049782894303092
2026-01-08,0.08482523594250169,24,1.0,0.08482523594250169,0.060393409849079836
2026-01-04,0.0847108977195743,24,1.0,0.0847108977195743,0.06027031845311108
2025-05-26,0.08446895966709549,24,1.0,0.08446895966709549,0.0600098588110499
2025-12-08,0.08442017907213578,24,1.0,0.08442017907213578,0.059957343813212396
2025-12-29,0.08379032085684078,24,1.0,0.08379032085684078,0.05927926674503646
2025-05-25,0.08345200131384642,24,1.0,0.08345200131384642,0.05891504711869914
2025-01-23,0.08304056091177651,24,1.0,0.08304056091177651,0.058472108859278296
2025-01-24,0.08302538116555946,24,1.0,0.08302538116555946,0.058455767026210845
2025-07-24,0.08273065879900877,24,1.0,0.08273065879900877,0.058138482162119705
2025-05-24,0.08211062493379814,24,1.0,0.08211062493379814,0.05747098154804118
2025-11-27,0.08206216732904842,24,1.0,0.08206216732904842,0.05741881426695851
2025-01-21,0.08180052084721089,24,1.0,0.08180052084721089,0.05713713741493897
2025-01-25,0.08129094137990608,24,1.0,0.08129094137990608,0.05658854704523036
2025-05-21,0.08128648246116586,24,1.0,0.08128648246116586,0.056583746773560976
2026-01-06,0.08109774606640255,24,1.0,0.08109774606640255,0.05638056164695393
2025-05-20,0.08105425291009326,24,1.0,0.08105425291009326,0.05633373886811297
2025-05-23,0.08087135758224201,24,1.0,0.08087135758224201,0.056136841971825974
2025-05-22,0.08065272535918888,24,1.0,0.08065272535918888,0.055901472339078995
2026-01-09,0.08043529710446506,24,1.0,0.08043529710446506,0.05566739884456613
2025-07-19,0.08031843834178048,24,1.0,0.08031843834178048,0.05554159394869014
2025-12-01,0.08018429793514185,24,1.0,0.08018429793514185,0.05539718441103753
2025-11-30,0.08010374237400446,24,1.0,0.08010374237400446,0.05531046191160053
2026-01-12,0.08002247582167016,24,1.0,0.08002247582167016,0.05522297399097096
2025-05-19,0.0795569885726646,24,1.0,0.0795569885726646,0.05472185132333832
2025-11-29,0.07947727835183145,24,1.0,0.07947727835183145,0.05463603887930933
2026-01-10,0.07939171416189467,24,1.0,0.07939171416189467,0.05454392431504028
2025-07-23,0.07894465179033336,24,1.0,0.07894465179033336,0.05406263704301813
2026-01-15,0.07873281828623639,24,1.0,0.07873281828623639,0.05383458660577452
2025-11-18,0.07859543188308374,24,1.0,0.07859543188308374,0.05368668257404992
2025-07-20,0.07832375943535659,24,1.0,0.07832375943535659,0.053394212217411446
2026-01-14,0.07757990180207079,24,1.0,0.07757990180207079,0.05259340849544604
2025-05-18,0.07755136746995069,24,1.0,0.07755136746995069,0.05256268971493875
2025-12-05,0.0771334389434199,24,1.0,0.0771334389434199,0.052112766632099614
2025-11-23,0.0767993946988054,24,1.0,0.0767993946988054,0.05175314959999794
