Date,OSF_ID,Priority,CombinedScore,AnomalyTypes,RuleScore,ForecastScore,GAFScore,CPScore,Anomaly_Hours,CP_Proximity_Days,missing_ratio,data_quality_flag
2025-06-08,2193681000,LOW,0.12401183917356993,ScheduleShift,0.3333333333333333,0.02322782564874461,0.077032933585209,0.00818452380952381,2,31,0.0,complete
2025-03-02,2193681000,LOW,0.12328354883232308,ScheduleShift,0.3333333333333333,0.01540509447286495,0.014738673880889395,0.07857142857142858,0,9,0.0,complete
2025-05-20,2193681000,LOW,0.12323844897206343,ScheduleShift,0.3333333333333333,0.003275633991001948,0.05633373892875928,0.05494505494505495,0,12,0.0,complete
2025-06-06,2193681000,LOW,0.12305275582689208,ScheduleShift,0.3333333333333333,0.021064514738695257,0.07334954670895723,0.010317460317460317,1,29,0.0,complete
2025-03-04,2193681000,LOW,0.12302020063084765,ScheduleShift,0.3333333333333333,0.02290954542289828,0.01922874851195441,0.061507936507936505,1,11,0.0,complete
2025-07-11,2193681000,LOW,0.12279828814867373,ScheduleShift,0.3333333333333333,0.012774309481103764,0.06988666586411665,0.02494331065759637,0,20,0.0,complete
2025-07-10,2193681000,LOW,0.12278005061268876,ScheduleShift,0.3333333333333333,0.012804148252276869,0.0719667579577558,0.02272727272727273,0,21,0.0,complete
2025-07-03,2193681000,LOW,0.1225066902178759,ScheduleShift,0.3333333333333333,0.007330391451523602,0.09004361103853091,0.011494252873563218,0,28,0.0,complete
2025-07-05,2193681000,LOW,0.12243449696580869,ScheduleShift,0.3333333333333333,0.011754818132689703,0.0804309101873281,0.014109347442680775,0,26,0.0,complete
2025-05-21,2193681000,LOW,0.12239811680898884,ScheduleShift,0.3333333333333333,0.004058072879540889,0.05658374683447642,0.04931972789115646,0,13,0.0,complete
2025-07-04,2193681000,LOW,0.12236838657828754,ScheduleShift,0.3333333333333333,0.013205313953604024,0.07927885992021536,0.012755102040816325,0,27,0.0,complete
2025-07-08,2193681000,LOW,0.12235206783337296,ScheduleShift,0.3333333333333333,0.012668216072488327,0.07390880870892601,0.018849206349206348,0,23,0.0,complete
2025-07-06,2193681000,LOW,0.12219211822771477,ScheduleShift,0.3333333333333333,0.010372288401669648,0.07983439296830383,0.015567765567765571,0,25,0.0,complete
2025-09-06,2193681000,LOW,0.12216398034260482,ScheduleShift,0.3333333333333333,0.01230351998037272,0.013793193171036434,0.07857142857142858,0,9,0.0,complete
2025-07-12,2193681000,LOW,0.12199266591014928,ScheduleShift,0.3333333333333333,0.010090477785034862,0.06744666049224166,0.027380952380952384,0,19,0.0,complete
2025-07-13,2193681000,LOW,0.12168076492749952,ScheduleShift,0.3333333333333333,0.00788572413724508,0.06650005046170517,0.03007518796992481,0,18,0.0,complete
2025-04-01,2193681000,LOW,0.12165439179368782,ScheduleShift,0.3333333333333333,0.05653701168022122,0.004617235098901009,0.018849206349206348,3,23,0.0,complete
2025-04-16,2193681000,LOW,0.12125893613758917,ScheduleShift,0.3333333333333333,0.001715729342452946,0.013773996727176569,0.08994708994708994,0,8,0.0,complete
2025-06-09,2193681000,LOW,0.12120231455569419,ScheduleShift,0.3333333333333333,0.012306835399391956,0.08033631246437586,0.007215007215007217,0,32,0.0,complete
